year,rank,title
2015년,85위,광화문에서 (At Gwanghwamun)
2015년,86위,시작이 좋아 2015 (Prod. By 버벌진트)
2015년,87위,주마등 (Feat. 우혜미)
2015년,88위,쩔어 (GD&T.O.P;)
2015년,89위,거북선 (Feat. 팔로알토)
2015년,90위,야생화
2015년,91위,예뻐서 (You`re beautiful) (Feat. 루이 of 긱스)
2015년,92위,사랑에 빠지고 싶다
2015년,93위,푸르던
2015년,94위,I`m So Sexy
2015년,95위,밤을 새 (Feat. 베이식)
2015년,96위,I Feel You
2015년,97위,미쳐
2015년,98위,Get (Feat. Beenzino)
2015년,99위,Zeze
2015년,100위,아무도 모르게 (Prod. by MC몽)
2016년,1위,CHEER UP
2016년,2위,시간을 달려서 (Rough)
2016년,3위,이 사랑
2016년,4위,You Are My Everything
2016년,5위,어디에도
2016년,6위,ALWAYS
2016년,7위,너는 나 나는 너
2016년,8위,널 사랑하지 않아
2016년,9위,걱정말아요 그대
2016년,10위,말해! 뭐해?
2016년,11위,넌 is 뭔들
2016년,12위,내가 저지른 사랑
2016년,13위,OOH-AHH하게
2016년,14위,이 소설의 끝을 다시 써보려 해
2016년,15위,또 다시 사랑
2016년,16위,우주를 줄게
2016년,17위,하늘바라기 (Feat. 하림)
2016년,18위,봄이 좋냐??
2016년,19위,Rain
2016년,20위,Everytime
2016년,21위,Why So Lonely
2016년,22위,오늘부터 우리는 (Me gustas tu)
2016년,23위,잊어버리지마 (Feat. 태연)
2016년,24위,Day Day (Prod. by GRAY) (Feat. 박재범)
2016년,25위,Boys And Girls (Feat. Babylon)
2016년,26위,D (half moon)  (Feat. 개코)
2016년,27위,다시 너를
2016년,28위,너 그리고 나 (NAVILLERA)
2016년,29위,한숨
2016년,30위,돌아오지마  (Feat. 용준형 of 비스트)
2016년,31위,꿈처럼
2016년,32위,사랑하자
2016년,33위,휘파람
2016년,34위,쏘쏘
2016년,35위,너였다면
2016년,36위,PICK ME
2016년,37위,TT
2016년,38위,소녀
2016년,39위,I Like That
2016년,40위,Dream (Prod. by 박근태)
2016년,41위,Forever (Prod. by GRAY)
2016년,42위,러시안 룰렛 (Russian Roulette)
2016년,43위,또 하루 (Feat. 개코)
2016년,44위,One Call Away
2016년,45위,공감 (Feat. 서영은)
2016년,46위,청춘 (Feat. 김창완)
2016년,47위,"호랑나비  (Feat. Gill, 리듬파워, 김흥국)"
2016년,48위,세월이 가면
2016년,49위,그대라는 사치
2016년,50위,자격지심 (Feat. 은하 of 여자친구)
2016년,51위,나만 안되는 연애
2016년,52위,RE-BYE
2016년,53위,회상
2016년,54위,구르미 그린 달빛
2016년,55위,목요일 밤  (Feat. 빈지노)
2016년,56위,Toy
2016년,57위,함께
2016년,58위,내 입술 따뜻한 커피처럼 (Feat. 이성경) (Prod. by 박근태)
2016년,59위,숨
2016년,60위,"그대, 바람이 되어"
2016년,61위,센치해
2016년,62위,사랑이 뭔데
2016년,63위,"And July (Feat. DEAN, DJ Friz)"
2016년,64위,I Miss You
2016년,65위,같은 곳에서
2016년,66위,봄인가 봐 (Spring Love)
2016년,67위,Hello
2016년,68위,그댄 행복에 살텐데
2016년,69위,안아줘
2016년,70위,Bye bye my blue
2016년,71위,너무너무너무
2016년,72위,I`m Not The Only One
2016년,73위,L.I.E
2016년,74위,네 생각
2016년,75위,니가 알던 내가 아냐 (Prod. by GRA ..
2016년,76위,Bang Bang
2016년,77위,1cm의 자존심
2016년,78위,맘 편히 (Comfortable)
2016년,79위,빗속으로
2016년,80위,Shut Up  (Feat. 유희열)
2016년,81위,Don't Cry (우리 동네 음악대장)
2016년,82위,If You
2016년,83위,Why
2016년,84위,With You
2016년,85위,붐바야
2016년,86위,Good Luck
2016년,87위,The Time Goes On
2016년,88위,그녀가 곁에 없다면 (결혼 행진곡을 활용한 신곡)
2016년,89위,이젠 잊기로 해요
2016년,90위,How Can I Love You
2016년,91위,Dancing King
2016년,92위,제주도의 푸른 밤
2016년,93위,내 옆에 그대인 걸 
2016년,94위,그대를 잊는다는 건
2016년,95위,"다정하게, 안녕히"
2016년,96위,유레카 (Feat. Zion.T)
2016년,97위,사랑이었다 (Feat. 루나 of f(x))
2016년,98위,친구라도 될걸 그랬어
2016년,99위,잠은 다 잤나봐요
2016년,100위,puzzle
2017년,1위,첫눈처럼 너에게 가겠다
2017년,2위,좋다고 말해
2017년,3위,Shape of You
2017년,4위,밤편지
2017년,5위,Beautiful
2017년,6위,KNOCK KNOCK
2017년,7위,좋니
2017년,8위,Marry Me
2017년,9위,비도 오고 그래서 (Feat. 신용재)
2017년,10위,오랜 날 오랜 밤
2017년,11위,REALLY REALLY
2017년,12위,우주를 줄게
2017년,13위,팔레트 (Feat. G-DRAGON)
2017년,14위,나만 안되는 연애
2017년,15위,불장난
2017년,16위,오빠야
2017년,17위,사랑이 잘 (With 오혁)
2017년,18위,New Face
2017년,19위,에라 모르겠다
2017년,20위,마지막처럼
2017년,21위,Stay With Me
2017년,22위,TT
2017년,23위,Rookie
2017년,24위,남이 될 수 있을까
2017년,25위,오늘 취하면 (Feat. 창모) (Prod. SUGA)
2017년,26위,I Miss You
2017년,27위,널 너무 모르고
2017년,28위,매일 듣는 노래 (A Daily Song)
2017년,29위,SIGNAL
2017년,30위,Decalcomanie (데칼코마니)
2017년,31위,그대라는 사치
2017년,32위,빨간 맛 (Red Flavor)
2017년,33위,"All I Wanna Do (K)  (Feat. Hoody, Loco)"
2017년,34위,심술
2017년,35위,너였다면
2017년,36위,"무제(無題) (Untitled, 2014)"
2017년,37위,돌아오지마  (Feat. 용준형 of 비스트)
2017년,38위,I LUV IT
2017년,39위,Closer (Feat. Halsey)
2017년,40위,YESTERDAY
2017년,41위,이 소설의 끝을 다시 써보려 해
2017년,42위,이쁘다니까
2017년,43위,시차 (We Are) (Feat. 로꼬 & GRAY)
2017년,44위,우리집을 못 찾겠군요 (Feat. 볼빨간사춘기)
2017년,45위,가시나
2017년,46위,처음부터 너와 나
2017년,47위,내가 저지른 사랑
2017년,48위,선물
2017년,49위,저 별
2017년,50위,Fine
2017년,51위,You(=I)
2017년,52위,첫 눈
2017년,53위,봄날
2017년,54위,나로 말할 것 같으면 (Yes I am)
2017년,55위,얼굴 찌푸리지 말아요
2017년,56위,Artist
2017년,57위,에너제틱 (Energetic)
2017년,58위,널 사랑하지 않아
2017년,59위,Love Yourself
2017년,60위,당신의 밤 (Feat. 오혁)
2017년,61위,썸 탈꺼야
2017년,62위,Who are you
2017년,63위,노래
2017년,64위,BLUE MOON (Prod. GroovyRoom)
2017년,65위,소원
2017년,66위,Something Just Like This
2017년,67위,맞지?
2017년,68위,Excuse Me
2017년,69위,넘어와 (Feat. 백예린)
2017년,70위,Why Don`t You Know (Feat. 넉살)
2017년,71위,all of my life
2017년,72위,Don`t Wanna Know (Feat. Kendrick Lamar)
2017년,73위,러시안 룰렛 (Russian Roulette)
2017년,74위,미치고 싶다
2017년,75위,Ko Ko Bop
2017년,76위,N분의 1 (Feat. 다이나믹듀오)
2017년,77위,CHEER UP
2017년,78위,TOMBOY
2017년,79위,숨
2017년,80위,NEVER
2017년,81위,아름다워
2017년,82위,가을 아침
2017년,83위,내 눈에만 보여
2017년,84위,She`s a Baby
2017년,85위,연애소설 (Feat. 아이유)
2017년,86위,LAST DANCE
2017년,87위,Complex (Feat. G-DRAGON)
2017년,88위,"혼자, 한잔"
2017년,89위,사랑하지 않은 것처럼
2017년,90위,FIVE
2017년,91위,이 바보야
2017년,92위,너무너무너무
2017년,93위,See You Again (폴 워커 추모 엔딩곡) (Feat. Char ..
2017년,94위,"요즘것들 (Feat. ZICO, DEAN)"
2017년,95위,11:11
2017년,96위,이 지금
2017년,97위,기다렸다 가
2017년,98위,행복한 척
2017년,99위,나의 사춘기에게
2017년,100위,Cold (Feat. Future)
